tax_year,filer_ein,filer_name,recipient_name,recipient_ein,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_country,recipient_postal,amount,purpose
2023,137029285,OPEN SOCIETY INSTITUTE,MOHAMED ASHRAF HASSAN MOHAMED,,21 GALAL DESSOUKY ST,,ASYUT,,EG,71527,7131,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,META KONG,,N/A,,TAKHMAO,,CB,08254,6321,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,GETAHUN ADANE EJAMO,,ATOTE,,HAWASSA,,ET,333,11357,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,LAH SOUKKASEUM,,ROAD 13 NORTH,,SAYTHANY DISTRICT,,OC,00000,12743,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,MARWA TAHA ELHAJ ADAM,,PO BOX 1660,,NORTH DARFUR WESTERN,,SU,00000,53525,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,SAFIA ELSIDDIG AWED ALKAREEM MOHAME,,BLOCK 6 ST 10 H 628,,OMDURMAN,,SU,11,1063,THE PURPOSE OF THIS GRANT IS TO ALLOW YOU TO PURSUE A GRADUATE DEGREE.
2023,137029285,OPEN SOCIETY INSTITUTE,AKELLO SUSAN LUPWONYA ALUNYO,,HAI THAOURA,,JUBA,,OC,033,10095,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,EILAF MUKHTAR,,BALADIYA STREET,,KHARTOUM,,SU,PO BOX 2622,12698,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,RACHELE MAGLOIRE,,RUE NARCISSE 38 NERETTE,,PETIONVILLE,,HA,HT6140,5000,"TO ORGANIZE A COLLABORATIVE PROJECT WITH ARTISTS FROM HAITI AND THE DOMINICAN REPUBLIC IN ORDER TO EDUCATE THE PUBLIC AND EXPLORE THE CULTURAL COMMONALITIES BETWEEN THE TWO NATIONS, INSPIRE PUBLIC DIALOGUE AROUND RACE, IDENTITY, HERITAGE, AND MIGRATION ON THE ISLAND, AND DISMANTLE DISCRIMINATORY NARRATIVES AND RHETORIC THROUGH THE INCLUSION OF NEW VOICES AND PERSPECTIVES"
2023,137029285,OPEN SOCIETY INSTITUTE,THABISO MASENYETSE,,THETSANE TSOLO,,MASERU,,LT,100,7382,TO OBTAIN AN LLM
2023,137029285,OPEN SOCIETY INSTITUTE,SAMUEL KABAGALE BATUMIKE,,76 RUE DE LHOTEL DE VILLE,,GATINEAU,,CA,J8X 2E2,29037,"TO ENABLE YOU TO PURSUE A MASTERS DEGREE IN SOCIAL SCIENCES OR HUMANITIES, AND TO APPLY THE KNOWLEDGE AND SKILLS GAINED IN YOUR ROLE AS A CIVIL SOCIETY LEADER TO BOLSTER POSITIVE SOCIAL CHANGE IN YOUR HOME COUNTRY OR REGION"
2023,137029285,OPEN SOCIETY INSTITUTE,BOAVENTURA MONJANE,,289 LOWER MAIN ROAD OBSERVATORY,,CAPE TOWN,,SF,7925,5375,"TO RESEARCH AND ADDRESS THE GROWING POVERTY, INEQUALITY, AND REGRESSION OF CIVIL AND POLITICAL LIBERTIES ACROSS MOZAMBIQUE AT A TIME WHEN ALTERNATIVE DEVELOPMENT PATHWAYS ARE URGENTLY NEEDED"
2023,137029285,OPEN SOCIETY INSTITUTE,ASHLEY TORRES CARRASQUILLO,,BO BEATRIZ SECTOR LAS PINAS CARR 1,KM 48,CAGUAS,,RQ,00725,20423,TO CREATE AN ANTI-VIOLENCE LEADERSHIP DEVELOPMENT PROGRAM FOR YOUNG PUBLIC HOUSING RESIDENTS IN PUERTO RICO
2023,137029285,OPEN SOCIETY INSTITUTE,MARISSEL HERNANDEZ-ROMERO,,360 CALLE FUERTE APT 902 COND,SANTURCE TOWER,SAN JUAN,,RQ,00912,65000,TO DEVELOP A REPOSITORY OF LIVED EXPERIENCES AND CULTURAL KNOWLEDGE OF BLACK AND AFRODESCENDANTS IN PUERTO RICO AS A ROUTE TO PUBLIC EDUCATION AND RACIAL JUSTICE
2023,137029285,OPEN SOCIETY INSTITUTE,CARLO ANDRE OLIVERAS RODRIGUEZ,,CALLE PADIAL 13,,MANATI,,RQ,00674,15000,"TO SUPPORT BARRIOIZATION, A PROJECT TO REVITALIZE THE URBAN CENTER OF MANATI AND ORGANIZE ITS SURROUNDING COASTAL AREAS--PARTICULARLY FOCUSING ON THE LEADERSHIP OF LGBTQI PEOPLE IN THE NEIGHBORHOOD"
2023,137029285,OPEN SOCIETY INSTITUTE,JADE ALGARIN,,HC-02 BOX 12901,,VIEQUES,,OC,00765,15000,"TO SUPPORT THE INTER-ISLAND FARMERS ALLIANCE, A COLLABORATION BETWEEN FARMERS IN VIEQUES PR AND ST CROIX USVI TO PROMOTE CLIMATE ADAPTATION TOOLS FOR AGRICULTURE AND TO EDUCATE FARMERS HOW TO BEST GROW FOOD"
2023,137029285,OPEN SOCIETY INSTITUTE,LORANGELIS THOMAS NEGRON,,861 CALLE SANCHEZ APTO24,,SAN JUAN,,RQ,00909,15000,"TO SUPPORT MATRILINEO, A PROJECT TO PROVIDE REPRODUCTIVE RIGHTS EDUCATION AND HEALING JUSTICE TO AFRO PUERTO RICAN WOMEN, TRANS AND NON BINARY PEOPLE"
2023,137029285,OPEN SOCIETY INSTITUTE,NICOLAS X GOMEZ ANDJAR,,PO BOX 637,,CULEBRA,,RQ,00775,15000,"TO SUPPORT THE CULEBRA FISHERMEN'S ASSOCIATION, A PROJECT TO PROMOTE FOOD SOVEREIGNTY AND CLIMATE JUSTICE BY BUILDING SELF-GOVERNANCE OF THE LOCAL ARTISANAL FISHING SECTOR IN CULEBRA, PUERTO RICO"
2023,137029285,OPEN SOCIETY INSTITUTE,YIRA RODRIGUEZ,,URB RIO CANAS CALLE DANUBIO 3011,,PONCE,,RQ,00728,15000,"TO SUPPORT LA ALDEA, A COMMUNITY PROJECT BASED IN PONCE, PUERTO RICO, DESIGNED TO EDUCATE THE COMMUNITY ABOUT FOOD SOVEREIGHTY AND CLIMATE JUSTICE, AND TO PROMOTE URBAN AGRICULTURE AND THE RECOVERY OF DISUSED LAND FOR GREEN AREAS"
2023,137029285,OPEN SOCIETY INSTITUTE,DANA L ESQUILIN ROSARIO,,URB ROSA MARIA CALLE 5 F20,,CAROLINA,,RQ,00985,15000,"TO SUPPORT ""ACOMPANAMIENTOS ABOLICIONISTAS"" IN BARRIO BUEN CONSEJO, SAN JUAN, A PROJECT TO EDUCATE AND PROVIDE SUPPORT AND SAFE HEALING SPACE TO RELATIVES OF PEOPLE IN PRISON, MOST OF WHOM ARE SOCIOECONOMICALLY DISADVANTAGED"
2023,137029285,OPEN SOCIETY INSTITUTE,STEPHANIE MONSERRATE TORRES,,URB INGENIEROS CALLE ANTOLIN NIN,529,SAN JUAN,,RQ,00918,15000,"TO SUPPORT GUAKIA AGROECOLOGICAL COLLECTIVE, A PROJECT TO ORGANIZE THE COMMUNITY OF HIGUILLAR IN DORADO TO INCREASE THE PRODUCTION OF HEALTHFUL AND ACCESSIBLE FOOD AND WATER AND TO RESPOND TO CLIMATE EMERGENCIES"
2023,137029285,OPEN SOCIETY INSTITUTE,MAMADOU ADAMA BILIA BAH,,KIPE RUE DIALLO SADAKAADJI,,CONAKRY,,GV,224,33333,"TO CREATE A COLLABORATIVE AND PARTICIPATORY THEATER PRODUCTION THAT WILL BE PERFORMED IN PUBLIC SPACES IN CONAKRY, GUINEA AND ITS SURROUNDING COMMUNITIES, IN ORDER TO EDUCATE THE PUBLIC BY EXPLORING THEMES OF URBANIZATION AND FAILING INFRASTRUCTURE IN THE CITY WHICH ARE EXACERBATED BY CLIMATE RELATED CHALLENGES, AS WELL AS ENVIRONMENTAL ISSUES SUCH AS THE ABUSES OF MINING AND DRILLING INDUSTRIES"
2023,137029285,OPEN SOCIETY INSTITUTE,KENAN DARWICH,,FULDASTR 41,,BERLIN,,GM,12045,16667,"TO CREATE HADER HALAL (WITH REGARD TO PRESENCE) A MULTI-FORMAT PROJECT THAT INCLUDES A DIGITAL ARCHIVE, SERIES OF PUBLIC PROGRAMS, PUBLICATIONS, AND EXHIBITIONS, THAT CRITICALLY INVESTIGATE PUBLISHING STRATEGIES, CULTURAL, AND ARCHIVAL PRACTICES IN THE EASTERN MEDITERRANEAN AND NORTH AFRICA DURING THE POST-COLONIAL PERIOD IN ORDER TO RECLAIM FORGOTTEN COLLECTIVE MEMORY IN THE REGION, EXCHANGE THIS KNOWLEDGE WITH THE PUBLIC, AND REWRITE NARRATIVES OF MODERN ARAB CULTURAL HISTORY FROM A QUEER, MIGRANT, AND FEMINIST PERSPECTIVE"
2023,137029285,OPEN SOCIETY INSTITUTE,MONICA SOFIA GONALVES DE MIRANDA,,RUA CRUZADO OSBERNO 7 3ESQ,,LISBON,,PO,1900-174,33333,"TO PRODUCE A COLLABORATIVE FILM, DECOLONIZED ARCHIVE, AND SERIES OF PROGRAMS THAT DOCUMENT STORIES OF MIGRATION AND LAND ECOLOGIES, INTERROGATE THE HARMFUL IMPACT OF RACIALIZED AND ENVIRONMENTAL GENTRIFICATION, AND BRING TOGETHER ARTISTS, ACTIVISTS, ECOLOGISTS, AND THE MIGRANT AFRICAN COMMUNITY OF LISBON, PORTUGAL IN ORDER TO EDUCATE THE PUBLIC AND TO REIMAGINE MORE INCLUSIVE, EQUITABLE, AND ENVIRONMENTALLY SUSTAINABLE PUBLIC SPACES"
2023,137029285,OPEN SOCIETY INSTITUTE,MOLEMO LINDA GAPARE,,4 PRINCESS PLACE,,PARKTOWN,,SF,2193,33333,"TO PRODUCE A SERIES OF ART AND COMMUNITY ENGAGED WORKS FOCUSED ON EXAMINING ISSUES OF LAND INJUSTICE, REFORM, AND RESTITUTION IN SOUTH AFRICA TO EDUCATE THE PUBLIC AND ADDRESS CONTEMPORARY REALITIES OF LAND DISPOSSESSION, CULTURAL ERASURE, COLONIALISM, AND APARTHEID FACED BY INDIGENOUS PEOPLE AND BLACK SOUTH AFRICANS"
2023,137029285,OPEN SOCIETY INSTITUTE,SAHAR ELARBI,,RESIDENCE VENISE 3 JARDINS DEL,MENZAH 2 AVENUE RO,ARIANA,,TS,2094,15628,TO PURSUE AN LLM AT THE CENTRAL EUROPEAN UNIVERSITY AND TO APPLY THE KNOWLEDGE GAINED IN YOUR HOME COUNTRY
2023,137029285,OPEN SOCIETY INSTITUTE,DENNIS BERENICE JIMENEZ MARTINEZ,,FLORICULTORES 4 PUEBLO SAN GREGORIO,ATLAPULCO,XOCHIMILCO,,MX,16600,33333,"TO PRODUCE A COLLABORATIVE, MULTIDISCIPLINARY, AND ARCHIVAL PROJECT WITH FRONTLINE COMMUNITIES IN THE BASIN OF THE VALLEY OF MEXICO, THAT PRESERVES AND UPLIFTS NATIVE AND LOCAL AGRICULTURAL KNOWLEDGE PRACTICES AND LANGUAGES IN RELATION TO WATER, PROMOTES ALTERNATIVE WAYS OF KNOWING AND BEING IN RELATION WITH THE ENVIRONMENT, PROMOTES AUDIENCE LEARNING, AND WORKS TO RESTORE AND HEAL SOCIETY'S RELATIONSHIP TO THE LAND"
2023,137029285,OPEN SOCIETY INSTITUTE,SAMI RUSTOM,,HERTZBERGSTR 7,,BERLIN,,GM,12055,16667,"TO CREATE HADER HALAL (WITH REGARD TO PRESENCE) A MULTI-FORMAT PROJECT THAT INCLUDES A DIGITAL ARCHIVE, SERIES OF PUBLIC PROGRAMS, PUBLICATIONS, AND EXHIBITIONS, THAT CRITICALLY INVESTIGATE PUBLISHING STRATEGIES, CULTURAL, AND ARCHIVAL PRACTICES IN THE EASTERN MEDITERRANEAN AND NORTH AFRICA DURING THE POST-COLONIAL PERIOD IN ORDER TO RECLAIM FORGOTTEN COLLECTIVE MEMORY IN THE REGION, EXCHANGE THIS KNOWLEDGE WITH THE PUBLIC, AND REWRITE NARRATIVES OF MODERN ARAB CULTURAL HISTORY FROM A QUEER, MIGRANT, AND FEMINIST PERSPECTIVE"
2023,137029285,OPEN SOCIETY INSTITUTE,MARTHA ATIENZA,,PUROK KULO 2 BARANGAY ATOP-ATOP,,CEBU,,RP,6052,33333,"TO CREATE A SERIES OF COLLABORATIVE ARTWORKS AND ARCHIVAL PROJECTS WITH FISHERFOLK COMMUNITIES IN THE BANTAYAN ISLAND, PHILIPPINES, IN ORDER TO EDUCATE THE PUBLIC AND RAISE AWARENESS AROUND ISSUES OF ENVIRONMENTAL JUSTICE, DISPLACEMENT, AND CULTURAL ERASURE, AND ADVOCATE FOR LEGAL PROTECTIONS FOR COMMUNITIES EXPERIENCING DISPOSSESSION RESULTING FROM UNCHECKED DEVELOPMENT AND ENVIRONMENTALLY DESTRUCTIVE POLICIES"
2023,137029285,OPEN SOCIETY INSTITUTE,DALTON PAULA,,RUA GOIAZES QUADRA P LOTE 9,LOTEAMENTO SHANGRY-,GOIANIA,,BR,74691-480,33333,"TO DEVELOP QUILOMBO-ESCOLA AN ARTS AND EDUCATION PROJECT THAT SUPPORTS AFRO-BRAZILIAN ARTISTS AND FOSTERS COMMUNITY COLLABORATION AND EXCHANGES WITH ART, THE ENVIRONMENT, AND ANCESTRAL AND TRADITIONAL KNOWLEDGE ROOTED IN A QUILOMBO PERSPECTIVE"
2023,137029285,OPEN SOCIETY INSTITUTE,JOSE M ROSADO SEIJO,,122 CALLE BARCELONA,,SAN JUAN,,RQ,00907,33333,"TO TRANSFORM EL CERRO, PUERTO RICO, A MARGINALIZED COMMUNITY THAT SITS ON THE FRONTLINES OF THE CLIMATE CRISIS, INTO THE FIRST GREEN BARRIADA, A SELF-SUSTAINING AND ENVIRONMENTALLY RESILIENT COMMUNITY AND WORK COLLABORATIVELY WITH EL CERRO RESIDENTS TO EDUCATE THE PUBLIC AND DEVELOP AND IMPLEMENT COMMUNITY-LED SOLUTIONS FOR CLIMATE CHANGE, ENVIRONMENTAL, AND ECONOMIC JUSTICE"
2023,137029285,OPEN SOCIETY INSTITUTE,IMEN BEN JOUIRA,,17 LOT KAANICH JABEUR ST,,MORNEG,,TS,2090,15628,TO PURSUE A MASTER'S DEGREE AT THE CENTRAL EUROPEAN UNIVERSITY AND TO APPLY THE KNOWLEDGE GAINED IN YOUR HOME COUNTRY
2023,137029285,OPEN SOCIETY INSTITUTE,EMILY BOLTON,,OLD WARREN COTTAGE MILL LANE,SYMONDSBURY,BRIDPORT,,UK,DT6 6HJ,20000,"TO DEVELOP MATERIAL THAT SPOTLIGHTS FLAWS IN THE SYSTEM OF JUSTICE IN THE UK, HIGHLIGHTING DIFFERENCES BETWEEN THE UK AND THE US"
2023,137029285,OPEN SOCIETY INSTITUTE,DOUGLAS BELCHIOR,,R ABOLIAO 418 - BELA VISTA SAO,PAULO - SP 013,SAO PAULO,,BR,01319-010,25000,"TO STRENGTHEN THE NETWORKS AND CONNECTIONS BETWEEN BLACK LEADERSHIP, ORGANIZATIONS, AND MOVEMENTS IN BRAZIL AND THE UNITED STATES BY DEVELOPING EMERGING LEADERSHIP THROUGH PUBLIC EDUCATION, RESEARCH PUBLICATIONS, AND COMMUNITY ENGAGEMENT IN ORDER TO PROMOTE RACIAL JUSTICE"
2023,137029285,OPEN SOCIETY INSTITUTE,PRISM THE GIFT FUND,,20 GLOUCESTER PLACE,,LONDON,,UK,W1U 8HA,100000,TO SUPPORT REFUGEE FAMILIES AND CHILDREN AND PROVIDE THEM WITH ESSENTIAL EARLY CHILDHOOD SERVICES ALONGSIDE PSYCHOSOCIAL SUPPORT TO ENABLE THEM TO THRIVE AND INTEGRATE EFFECTIVELY INTO NEW COMMUNITIES
2023,137029285,OPEN SOCIETY INSTITUTE,GENEVA CENTRE FOR SECURITY SECTOR GOVERNANCE,,CHEMIN EUGENE RIGOT 2E PO BOX 1360,,GENEVA,,SZ,1211,499950,"TO SUPPORT GOOD SECURITY SECTOR GOVERNANCE IN THE ASIA PACIFIC, BY SHARING EXPERIENCES AND BUILDING CAPACITIES AT LOCAL, SUB-REGIONAL AND REGIONAL LEVELS"
2023,137029285,OPEN SOCIETY INSTITUTE,CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSIT,,UNIVERSITY OFFICES WELLINGTON,SQUARE,OXFORD,,UK,OX1 2JD,319891,TO SUPPORT A PROGRAM OF SCHOLARLY INQUIRY INTO ECONOMICS AND SOCIAL SCIENCES AT UNIVERSITY OF OXFORD'S BLAVATNIK SCHOOL OF GOVERNMENT
2023,137029285,OPEN SOCIETY INSTITUTE,AMERICAN UNIVERSITY OF CENTRAL ASIA,,7/6 AALY TOKOMBAEV STREET,,BISHKEK,,KG,720060,41010,TO PROVIDE SUPPORT FOR A NEW SCHOLARSHIP FUND SUPPORTING STUDENTS WHOSE STUDIES CENTER ON HUMAN AND WOMEN'S RIGHTS
2023,137029285,OPEN SOCIETY INSTITUTE,MOTU ECONOMIC AND PUBLIC POLICY RESEARCH TRUST,,LEVEL 1 97 CUBA STREET PO BOX 24390,,WELLINGTON,,NZ,6142,100000,"TO SUPPORT THE CONTINUED PRODUCTION OF RELIABLE DATA ON THE HUMAN RIGHTS PERFORMANCE OF STATES ACROSS RIGHTS, COUNTRIES AND TIME"
2023,137029285,OPEN SOCIETY INSTITUTE,UNIVERSITY OF KASSEL,,MONCHEBERGSTR 19,,KASSEL,,GM,34109,200000,TO SUPPORT THE GLOBAL LABOUR UNIVERSITY TO STRENGTHEN TRADE UNIONS CAPACITIES BY DELIVERING ACADEMIC AND EDUCATIONAL PROGRAMS TO LABOUR ACTIVISTS AND BY BUILDING CROSS-BORDER SOLIDARITIES WITHIN THE LABOUR MOVEMENT
2023,137029285,OPEN SOCIETY INSTITUTE,THE APOLITICALAG FOUNDATION GGMBH,,BRUNNENSTRASSE 35,,BERLIN,,GM,10115,150000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,AMERICAN UNIVERSITY OF CENTRAL ASIA,,7/6 AALY TOKOMBAEV STREET,,BISHKEK,,KG,720060,28502,TO OFFER INTENSIVE COLLEGE-LEVEL WORKSHOPS BUILDING AN OSUN FACULTY RESEARCH AND TEACHING EXPERTISE ON BORDERLAND AND INDETERMINATE SPACES AROUND THE WORLD
2023,137029285,OPEN SOCIETY INSTITUTE,EUROPEAN COUNCIL ON FOREIGN RELATIONS,,FIRST FLOOR 10 QUEEN STREET PLACE,,LONDON,,UK,EC4R 1BE,2500000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,OPEN SOCIETY FOUNDATION FOR ALBANIA,,RR QEMAL STAFA P120/2,,TIRANA,,AL,00000,140000,TO SUPPORT HUMANITARIAN RELIEF EFFORTS FOR DISPLACED AFGHANS EVACUATED TO ALBANIA
2023,137029285,OPEN SOCIETY INSTITUTE,FUTURE FORUM,,THE FACTORY PHNOM PENH 1ST FLOOR,BLDG 2 SANG,PHNOM PENH,,CB,12350,60000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,AGENCIA MURAL DE JORNALISMO DAS PERIFERIAS,,AVENIDA SAPUCAIA DO SUL 2 CASA A -,SP - 02952-160,SAO PAULO,,BR,00000,250000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,COHERE CHARITY,,FURZEY HILL,,MEYSEY HAMPTON,,UK,GL75LD,350000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,ASIA DEMOCRACY NETWORK,,100 CHEONGGYECHEONRO JUNGGU,SIGNATURE TOWER WES,SEOUL,,KS,04542,685000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,OPEN DEVELOPMENT CAMBODIA,,23B ST 606 SANGKAT BOENG KAK TI PIR,KHAN TUOL,PHNOM PENH,,CB,00000,150000,"TO SUPPORT TECHNICAL TRAINING OF THE GRANTEES STAFF, DATA DRIVEN LITERACY TRAINING FOR THE PUBLIC, AND A MID-TERM EVALUATION OF THE GRANTEES 2021-2025 STRATEGIC PLAN, ALL OF WHICH ARE INTENDED TO IMPROVE ACCESS TO RELIABLE INFORMATION FOR ALL CAMBODIANS"
2023,137029285,OPEN SOCIETY INSTITUTE,THAI VOLUNTEER SERVICE FOUNDATION,,409 SOI ROHITSOOK PRACHARAJBAMPEN,RD HUAY-KHWAN,BANGKOK,,TH,10320,75000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,BLACK EQUITY ORGANISATION,,86-90 PAUL STREET,,LONDON,,UK,EC2A 4NE,750000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,INSTITUTE FOR STRATEGIC INITIATIVES,,51/18 MIHAI KOGALNICEANU STR,,CHISINAU,,MD,00000,240000,TO PROVIDE GENERAL SUPPORT
2023,137029285,OPEN SOCIETY INSTITUTE,TREND ASIA FOUNDATION,,CEO SUITE AXA TOWER 45TH FLOOR JL,PROF DR SATR,JAKARTA,,ID,12940,175000,TO SUPPORT THE PROMOTION OF ENERGY DEMOCRATIZATION IN THE EASTERN PART OF INDONESIA
